x,y,class
-21.235089463220675,-8.179780876494021,1
-109.50546719681908,69.90786852589642,0
-77.69632206759442,-52.00448207171314,1
-89.62475149105367,76.28237051792827,0
32.840457256461264,30.067231075697208,1
-24.416003976143145,124.09113545816732,0
-63.38220675944336,102.57719123505976,0
26.47862823061629,28.473605577689256,1
-40.32057654075547,116.1230079681275,0
-37.9348906560636,118.51344621513944,0
-18.84940357852884,126.48157370517929,0
-34.75397614314116,-17.74153386454182,1
-143.70029821073558,38.83217131474103,0
-28.39214711729622,-14.554282868525888,1
-100.7579522862823,69.90786852589642,0
11.369284294234603,14.927788844621515,1
-15.668489065606366,-4.992529880478088,1
-103.93886679920476,70.7046812749004,0
53.516401590457264,45.2066733067729,1
-28.39214711729622,-14.554282868525888,1
-72.12972166998013,93.01543824701196,0
-15.668489065606366,126.48157370517929,0
-121.43389662027832,58.75249003984064,0
-115.86729622266402,62.73655378486055,0
-150.06212723658052,36.44173306772908,0
-22.03031809145128,125.6847609561753,0
-150.85735586481113,34.051294820717146,0
-60.20129224652087,-38.45866533864543,1
-94.39612326043738,77.07918326693226,0
39.99751491053675,37.23854581673308,1
-35.54920477137179,121.70069721115536,0
-79.28677932405566,86.64093625498009,0
-2.149602385685881,2.975597609561732,1
12.95974155069581,15.724601593625492,1
38.40705765407554,33.25448207171314,1
-54.63469184890656,107.35806772908366,0
-55.42992047713716,107.35806772908366,0
-19.64463220675944,-7.382968127490045,1
39.99751491053675,37.23854581673308,1
-63.38220675944336,102.57719123505976,0
-74.51540755467197,-48.81723107569721,1
-62.58697813121273,99.38994023904382,0
-6.920974155069587,-0.211653386454202,1
-85.6486083499006,82.65687250996017,0
-87.23906560636183,80.26643426294822,0
-53.04423459244535,-29.69372509960158,1
-16.463717693836998,128.87201195219123,0
-80.08200795228629,85.04731075697211,0
51.1307157057654,44.40986055776892,1
-48.272862823061615,-28.896912350597603,1
17.731113320079515,19.708665338645403,1
-130.18141153081513,50.78436254980079,0
24.092942345924456,25.286354581673294,1
-10.101888667992055,-2.602091633466131,1
-45.88717693836978,-25.70966135458167,1
25.68339960238569,30.864043824701213,1
14.550198807157074,18.911852589641427,1
-6.125745526838983,-0.211653386454202,1
-68.94880715705764,-43.23954183266935,1
-73.72017892644136,-48.02041832669323,1
-65.76789264413517,-42.44272908366534,1
-37.139662027833,118.51344621513944,0
-80.87723658051691,88.23456175298804,0
-31.57306163021869,123.29432270916335,0
-11.692345924453264,-2.602091633466131,1
5.007455268389691,10.943725099601608,1
-6.920974155069587,132.85607569721117,0
1.826540755467164,6.9596613545816695,1
-9.306660039761423,131.2624501992032,0
-136.54324055666004,46.00348605577688,0
-63.38220675944336,-40.05229083665341,1
-74.51540755467197,93.81225099601592,0
-72.92495029821073,89.03137450199203,0
-101.55318091451292,71.50149402390437,0
-72.12972166998013,94.60906374501992,0
20.912027833001986,22.895916334661337,1
41.587972166998014,37.23854581673308,1
36.81660039761431,31.66085657370519,1
-54.63469184890656,-32.88097609561751,1
-0.5591451292246461,6.162848605577693,1
45.56411530815109,40.42579681274901,1
-35.54920477137179,-20.13197211155378,1
-87.23906560636183,78.67280876494024,0
-60.20129224652087,-37.661852589641455,1
-103.93886679920476,70.7046812749004,0
-36.3444333996024,-20.13197211155378,1
-113.48161033797216,68.31424302788844,0
-11.692345924453264,131.2624501992032,0
-26.00646123260438,-12.960657370517936,1
8.188369781312133,11.740537848605584,1
-59.40606361829026,101.78037848605578,0
-42.706262425447306,113.73256972111554,0
-46.68240556660038,113.73256972111554,0
48.74502982107356,42.019422310756966,1
-23.620775347912517,-10.57021912350598,1
-79.28677932405566,-53.59810756972112,1
-26.00646123260438,123.29432270916335,0
-42.706262425447306,-24.11603585657369,1
-64.97266401590457,96.20268924302788,0
-54.63469184890656,101.78037848605578,0
-33.163518886679924,-17.74153386454182,1
-124.6148111332008,56.36205179282868,0
-49.06809145129225,110.5453187250996,0
28.86431411530816,28.473605577689256,1
28.06908548707753,28.473605577689256,1
28.06908548707753,28.473605577689256,1
-144.4955268389662,38.035358565737056,0
-54.63469184890656,-32.88097609561751,1
-96.78180914512922,73.89193227091633,0
-15.668489065606366,128.87201195219123,0
